bpm=200
(2,tap,0)
(6,tap,1)
(10,tap,0)
(14,tap,1)
(18,tap,0)
(22,tap,1)
(26,tap,0)
(30,tap,1)
(32,tap,0)
(32,tap,1)
(33,tap,0)
(35,tap,1)
(36,tap,0)
(36,tap,1)
(37,tap,1)
(39,tap,1)
(40,tap,0)
(40,tap,1)
(41,tap,0)
(43,tap,1)
(44,tap,0)
(44,tap,1)
(45,tap,1)
(47,tap,0)
(48,tap,0)
(48,tap,1)
(49,tap,0)
(51,tap,0)
(52,tap,0)
(52,tap,1)
(53,tap,1)
(55,tap,0)
(56,tap,0)
(56,tap,1)
(57,tap,0)
(59,tap,1)
(60,tap,0)
(60,tap,1)
(61,tap,1)
(63,tap,1)
(64,hold_start,0)
(64,tap,1)
(65,hold_mid,0)
(65,tap,1)
(66,hold_mid,0)
(67,hold_mid,0)
(68,hold_mid,0)
(68,tap,1)
(69,hold_mid,0)
(70,hold_mid,0)
(71,hold_mid,0)
(71,tap,1)
(72,tap,0)
(72,tap,1)
(73,tap,1)
(75,tap,1)
(76,tap,0)
(76,tap,1)
(77,tap,0)
(79,tap,1)
(80,tap,0)
(80,tap,1)
(81,tap,1)
(83,tap,0)
(84,tap,0)
(84,tap,1)
(85,tap,0)
(87,tap,0)
(88,tap,0)
(88,tap,1)
(89,tap,1)
(91,tap,0)
(92,tap,0)
(92,tap,1)
(93,tap,0)
(95,tap,1)
(96,tap,0)
(96,tap,1)
(97,tap,0)
(99,tap,0)
(100,tap,0)
(100,tap,1)
(101,tap,1)
(103,tap,0)
(104,tap,0)
(104,tap,1)
(105,tap,0)
(107,tap,1)
(108,tap,0)
(108,tap,1)
(109,tap,1)
(111,tap,1)
(112,tap,0)
(112,tap,1)
(113,tap,0)
(115,tap,1)
(116,tap,0)
(116,tap,1)
(117,tap,1)
(119,tap,0)
(120,tap,0)
(120,tap,1)
(121,tap,0)
(123,tap,0)
(124,tap,0)
(124,tap,1)
(125,tap,1)
(127,tap,0)
(128,tap,0)
(128,tap,1)
(129,tap,1)
(131,tap,0)
(132,tap,0)
(132,tap,1)
(133,tap,0)
(135,tap,0)
(136,tap,0)
(136,tap,1)
(137,tap,1)
(139,tap,0)
(140,tap,0)
(140,tap,1)
(141,tap,0)
(143,tap,1)
(144,tap,0)
(144,tap,1)
(145,tap,1)
(147,tap,1)
(148,tap,0)
(148,tap,1)
(149,tap,0)
(151,tap,1)
(152,tap,0)
(152,tap,1)
(153,tap,1)
(155,tap,0)
(156,tap,0)
(156,tap,1)
(157,tap,0)
(159,tap,0)
(160,tap,0)
(160,hold_start,1)
(161,tap,0)
(161,hold_mid,1)
(162,hold_mid,1)
(163,hold_mid,1)
(164,tap,0)
(164,hold_mid,1)
(165,hold_mid,1)
(166,hold_mid,1)
(167,tap,0)
(167,hold_mid,1)
(168,tap,0)
(168,tap,1)
(169,tap,0)
(171,tap,0)
(172,tap,0)
(172,tap,1)
(173,tap,1)
(175,tap,0)
(176,tap,0)
(176,tap,1)
(177,tap,0)
(179,tap,1)
(180,tap,0)
(180,tap,1)
(181,tap,1)
(183,tap,1)
(184,tap,1)
(185,tap,0)
(187,tap,1)
(188,tap,0)
(189,tap,1)
(191,tap,0)
(192,tap,0)
(193,tap,1)
(195,tap,1)
(196,tap,1)
(197,tap,0)
(199,tap,1)
(200,tap,0)
(201,tap,1)
(203,tap,0)
(204,tap,1)
(205,tap,0)
(207,tap,0)
(208,tap,0)
(209,tap,1)
(211,tap,0)
(212,tap,1)
(213,tap,0)
(215,tap,1)
(216,tap,0)
(217,tap,1)
(219,tap,1)
(220,tap,1)
(221,tap,0)
(223,tap,1)
(224,tap,1)
(225,tap,0)
(227,tap,1)
(228,tap,0)
(229,tap,1)
(231,tap,1)
(232,tap,1)
(233,tap,0)
(235,tap,1)
(236,tap,0)
(237,tap,1)
(239,tap,0)
(240,tap,1)
(241,tap,0)
(243,tap,0)
(244,tap,0)
(245,tap,1)
(247,tap,0)
(248,tap,1)
(249,tap,0)
(251,tap,1)
(252,tap,0)
(253,tap,1)
(255,tap,1)
(256,tap,0)
(257,tap,1)
(259,tap,0)
(260,tap,1)
(261,tap,0)
(263,tap,1)
(264,tap,0)
(265,tap,1)
(267,tap,1)
(268,tap,1)
(269,tap,0)
(271,tap,1)
(272,tap,0)
(273,tap,1)
(275,tap,0)
(276,tap,1)
(277,tap,0)
(279,tap,0)
(280,tap,0)
(281,tap,1)
(283,tap,0)
(284,tap,1)
(285,tap,0)
(287,tap,1)
(288,hold_start,0)
(288,tap,1)
(289,hold_mid,0)
(290,hold_mid,0)
(291,hold_mid,0)
(292,hold_mid,0)
(293,hold_mid,0)
(293,tap,1)
(294,hold_mid,0)
(295,hold_mid,0)
(296,hold_mid,0)
(296,tap,1)
(297,hold_mid,0)
(298,hold_mid,0)
(299,hold_mid,0)
(299,tap,1)
(300,tap,0)
(301,tap,1)
(303,tap,1)
(304,tap,1)
(305,tap,0)
(307,tap,1)
(308,tap,0)
(309,tap,1)
(311,tap,0)
(312,tap,1)
(313,tap,0)
(315,tap,0)
(316,tap,0)
(317,tap,1)
(319,tap,0)
(320,tap,0)
(321,tap,1)
(323,tap,0)
(324,tap,1)
(325,tap,0)
(327,tap,0)
(328,tap,0)
(329,tap,1)
(331,tap,0)
(332,tap,1)
(333,tap,0)
(335,tap,1)
(336,tap,0)
(337,tap,1)
(339,tap,1)
(340,tap,1)
(341,tap,0)
(343,tap,1)
(344,tap,0)
(345,tap,1)
(347,tap,0)
(348,tap,1)
(349,tap,0)
(351,tap,0)
(352,tap,1)
(353,tap,0)
(355,tap,1)
(356,tap,0)
(357,tap,1)
(359,tap,0)
(360,tap,1)
(361,tap,0)
(363,tap,0)
(364,tap,0)
(365,tap,1)
(367,tap,0)
(368,tap,1)
(369,tap,0)
(371,tap,1)
(372,tap,0)
(373,tap,1)
(375,tap,1)
(376,tap,1)
(377,tap,0)
(379,tap,1)
(380,tap,0)
(381,tap,1)
(383,tap,0)
(384,tap,0)
(385,tap,1)
(387,tap,1)
(388,tap,1)
(389,tap,0)
(391,tap,1)
(392,tap,0)
(393,tap,1)
(395,tap,0)
(396,tap,1)
(397,tap,0)
(399,tap,0)
(400,tap,0)
(401,tap,1)
(403,tap,0)
(404,tap,1)
(405,tap,0)
(407,tap,1)
(408,tap,0)
(409,tap,1)
(411,tap,1)
(412,tap,1)
(413,tap,0)
(415,tap,1)
(416,hold_start,1)
(417,tap,0)
